2025-08-12 22:37:43 install gnupg-l10n:all <none> 2.4.7-21
2025-08-12 22:37:43 status half-installed gnupg-l10n:all 2.4.7-21
2025-08-12 22:37:43 status unpacked gnupg-l10n:all 2.4.7-21
2025-08-12 22:37:43 install gpg:amd64 <none> 2.4.7-21+b3
2025-08-12 22:37:43 status half-installed gpg:amd64 2.4.7-21+b3
2025-08-12 22:37:43 status unpacked gpg:amd64 2.4.7-21+b3
2025-08-12 22:37:43 install libncursesw6:amd64 <none> 6.5+20250216-2
2025-08-12 22:37:43 status half-installed libncursesw6:amd64 6.5+20250216-2
2025-08-12 22:37:43 status unpacked libncursesw6:amd64 6.5+20250216-2
2025-08-12 22:37:43 install pinentry-curses:amd64 <none> 1.3.1-2
2025-08-12 22:37:43 status half-installed pinentry-curses:amd64 1.3.1-2
2025-08-12 22:37:43 status unpacked pinentry-curses:amd64 1.3.1-2
2025-08-12 22:37:43 install gpg-agent:amd64 <none> 2.4.7-21+b3
2025-08-12 22:37:43 status half-installed gpg-agent:amd64 2.4.7-21+b3
2025-08-12 22:37:43 status unpacked gpg-agent:amd64 2.4.7-21+b3
2025-08-12 22:37:43 install gpgsm:amd64 <none> 2.4.7-21+b3
2025-08-12 22:37:43 status half-installed gpgsm:amd64 2.4.7-21+b3
2025-08-12 22:37:43 status unpacked gpgsm:amd64 2.4.7-21+b3
2025-08-12 22:37:43 install gnupg:all <none> 2.4.7-21
2025-08-12 22:37:43 status half-installed gnupg:all 2.4.7-21
2025-08-12 22:37:43 status unpacked gnupg:all 2.4.7-21
2025-08-12 22:37:43 install libbluetooth3:amd64 <none> 5.82-1.1
2025-08-12 22:37:43 status half-installed libbluetooth3:amd64 5.82-1.1
2025-08-12 22:37:43 status unpacked libbluetooth3:amd64 5.82-1.1
2025-08-12 22:37:43 install libc-dev-bin:amd64 <none> 2.41-12
2025-08-12 22:37:43 status half-installed libc-dev-bin:amd64 2.41-12
2025-08-12 22:37:43 status unpacked libc-dev-bin:amd64 2.41-12
